time,capacity
1505494325,0.16201546915128706
1505494335,0.08507286627247213
1505494345,0.13430986083736485
1505494355,0.2427357701726095
1505494365,0.1341754763184615
1505494375,0.17522994684345694
1505494385,0.20141253060980713
1505494395,0.1834572657229887
1505494405,0.0915457205996536
1505494415,0.1763946126739533
1505494425,0.10252792211670547
1505494435,0.11419697784148597
1505494445,0.16639789762885981
1505494455,0.2202263632562862
1505494465,0.19265513946126744
1505494475,0.2762871050588306
1505494485,0.10368512214059611
1505494495,0.08809651794779905
1505494505,0.06513916263513109
1505494515,0.18238218957176133
1505494525,0.1093889983873858
